1,7up,,,8.70,38
2,Actimel Вишня,2.90,1.50,11.50,74
3,Actimel Гранат,2.70,1.50,11.50,73
4,Actimel Земляника и шиповник,2.70,1.50,11.50,73
5,Actimel Клубника,2.70,1.50,11.50,72
6,Actimel Малина и клюква,2.70,1.50,11.50,72
7,Actimel Мультифрукт,2.70,1.50,12.00,75
8,Actimel Натуральный,2.80,1.60,10.50,71
9,Actimel Черника и ежевика,2.90,1.50,11.50,74
10,Fruttis Сливочное лакомство Клубника-Земляника,2.20,5.00,17.00,122
11,Neo Имунеле Natural,1.80,0.90,11.80,63
12,Neo Имунеле Гранат-Вишня,2.50,1.20,12.40,70
13,Neo Имунеле Клюква-Малина,2.50,1.20,12.60,71
14,Neo Имунеле Лесные ягоды,2.50,1.20,13.10,73
15,Абрикос,0.90,0.10,9.00,44
16,Абрикос консервированный,0.40,0.10,15.50,67
17,Абрикосовая косточка,14.00,27.70,56.30,440
18,Абрикосовый компот,0.50,,21.00,85
19,Абрикосовый сок,0.90,0.10,9.00,38
20,Абсент,,,8.80,171
21,Авокадо,2.00,20.00,6.00,212
22,Агар пищевой,4.00,,76.00,301
23,Аджика,1.00,3.70,5.80,59
24,Ажгон,19.70,14.50,11.90,333
25,Азу,11.90,14.20,10.20,214
26,Айва,0.60,0.50,9.80,40
27,Айвовый компот,0.40,,20.00,79
28,Айвовый сок,0.50,,10.60,45
29,Айран (тан) газированный,1.10,1.50,1.40,24
30,Айран (тан) из козьего молока,1.10,1.50,1.40,24
31,Айран (тан) негазированный,1.10,1.50,1.40,24
32,Айран (тан) негазированный нежирный,1.10,0.20,1.40,12
33,Айран (тан) с укропом и огурцом,1.10,1.00,1.40,19
34,Айран (тан) сильногазированный,1.10,1.00,1.40,19
35,Айсинг,2.30,,78.80,305
36,Аки,1.00,15.00,8.00,151
37,Активиа Быстрый завтрак Клубника,4.30,2.80,20.90,127
38,Активиа Быстрый завтрак Натуральный,4.80,3.10,14.40,107
39,Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.60,3.10,16.70,110
40,Активиа Кефирная 1%,2.90,1.00,4.50,39
41,Активиа Кефирная 3%,2.90,3.00,3.60,53
42,Активиа Момент удовольствия Вишня,4.30,2.70,13.70,97
43,Активиа Момент удовольствия Земляника,4.30,2.70,12.90,97
44,Активиа Питьевая Ананас,2.80,2.00,12.20,77
45,Активиа Питьевая Бифидойогурт Классический 1.5%,3.20,1.50,4.50,44
46,Активиа Питьевая Вишня и чёрная смородина,2.60,2.00,12.80,81
47,Активиа Питьевая Злаки,2.80,2.20,12.40,81
48,Активиа Питьевая Клубника и земляника,2.80,2.20,12.40,81
49,Активиа Питьевая Малина и злаки,2.80,2.10,11.00,74
50,Активиа Питьевая Натуральная,3.20,2.40,4.50,52
51,Активиа Питьевая Чернослив,2.80,2.00,12.80,80
52,Активиа Питьевая Яблоко и злаки,2.80,2.20,13.00,83
53,Активиа Семейная Клубника,3.90,3.20,13.60,98
